0	Morris Smith Miller (July 31, 1779 -- November 16, 1824) was a United States Representative from New York. Born in New York City, he graduated from Union College in Schenectady in 1798. He studied law and was admitted to the bar. Miller served as private secretary to Governor Jay, and subsequently, in 1806, commenced the practice of his profession in Utica. He was president of the village of Utica in 1808 and judge of the court of common pleas of Oneida County from 1810 until his death.
1	Emmanuel Scheffer (, born 1 February 1924 in Germany) is an Israeli football coach.
2	Not only is Moreira a consummate performer, but he is also strongly involved in the promotion of education. When the album was launched in his home town of Maputo, he donated R10 000 to start a campaign to renovate the Escola Nacional de Musica (National School of Music)--the school he attended as a youth. Whenever he goes back to Maputo, he makes sure to spend some time at the school conducting workshops.
3	Jack Curtner (9 July 1888 Greenville, Ohio -- 1 January 1961 Dayton, Ohio) was an American racecar driver.
4	Juan Laporte (born November 24, 1959) is a former boxer who was born in Guayama, Puerto Rico.
5	Muhammad Tulaimat (محمد طليمات) (born 1941) is a modernist painter from the city of Homs, Syria. He was born to a merchant family. He studied engineering in Aleppo, and then moved back to Homs to work at the Directorate of Water Resources. At that time, he was very active in painting until he left Syria to pursue his career in engineering. He lived for short periods in Libya, Egypt, Saudi Arabia, and Kuwait in which he stayed for 11 years. He then returned to his hometown Homs, and returned to his original passion, painting. A documentary on his life and paintings was aired on Syrian TV in 2002. Tulaimat is one of the original founders of the Association of Fine Art in Homs, Syria. He has held exhibitions in Rome, Paris, Beirut, Riyadh, and Chicago. His works are owned by museums and individuals around the world.
6	Vanessa Chinitor (born 13 October 1976, Dendermonde) is a Belgian singer, best known outside Belgium for her participation in the 1999 Eurovision Song Contest.
7	Angus Mackay, born in Lima, Peru in 1939, is a Scottish historian and Hispanist, specialising in Later Medieval Spain.
8	John Milne Bramwell (1852 -- 1925) was a Scottish physician and author, born at Perth, and educated at the University of Edinburgh.
9	Sinclair, was born in Russia in 1890 and educated in Philadelphia, before attending St Leonards School in St Andrews, where women's lacrosse had been introduced by Louisa Lumsden. Lumsden brought the game to Scotland after watching a men's lacrosse game between the Canghuwaya Indians and the Montreal Lacrosse Club.
10	Lezana was born at Madrid. He took the habit at Alberca, in Old Castile, 18 October 1600, and made his profession at the house of the Carmelites of the Old Observance, at Madrid, in 1602. He studied philosophy at Toledo, theology at Salamanca, partly at the college of the order, partly at the university under Juan Marquez, and finally at Alcalá under Luis de Montesion.
