person	pob	label
1::span:0:17	1::span:45:52	True
3::span:0:12	3::span:26:36	True
4::span:0:12	4::span:72:79	True
5::span:0:17	5::span:84:88	False
6::span:0:16	6::span:40:51	True
7::span:0:12	7::span:22:26	True
8::span:0:19	8::span:80:85	True
9::span:0:8	9::span:22:28	True
11::span:0:6	11::span:34:38	False
14::span:0:15	14::span:83:97	True
15::span:16:19	15::span:8:14	True
18::span:0:18	18::span:50:57	True
19::span:30:35	19::span:8:17	True
23::span:0:9	23::span:22:27	True
28::span:0:11	28::span:31:38	True
29::span:0:14	29::span:40:56	True
31::span:0:19	31::span:31:39	True
32::span:0:5	32::span:18:34	True
34::span:0:9	34::span:39:46	True
35::span:0:17	35::span:32:39	False
36::span:0:16	36::span:34:40	True
37::span:0:5	37::span:35:45	False
39::span:0:6	39::span:30:40	True
40::span:342:349	40::span:8:16	True
42::span:0:16	42::span:87:95	True
43::span:0:17	43::span:136:145	True
44::span:0:13	44::span:32:39	True
46::span:25:31	46::span:8:14	True
47::span:0:14	47::span:24:32	True
48::span:0:13	48::span:63:71	True
49::span:0:8	49::span:72:79	False
50::span:0:18	50::span:62:69	True
51::span:91:98	51::span:8:20	True
52::span:0:10	52::span:27:34	False
53::span:0:7	53::span:22:32	False
55::span:0:8	55::span:28:48	True
56::span:0:13	56::span:71:77	True
57::span:20:26	57::span:8:18	True
58::span:0:22	58::span:378:384	False
59::span:0:12	59::span:48:56	True
60::span:0:9	60::span:22:26	True
61::span:0:13	61::span:55:65	True
62::span:365:373	62::span:32:40	False
63::span:0:23	63::span:39:45	True
64::span:0:17	64::span:27:33	True
65::span:0:10	65::span:25:34	True
67::span:0:25	67::span:45:50	True
68::span:0:11	68::span:40:46	True
70::span:122:134	70::span:351:360	False
72::span:103:118	72::span:44:69	True
73::span:0:13	73::span:37:49	True
74::span:0:11	74::span:93:99	False
75::span:0:5	75::span:18:26	True
77::span:0:15	77::span:41:50	True
78::span:0:16	78::span:29:38	True
80::span:27:33	80::span:8:16	True
81::span:0:6	81::span:23:33	False
82::span:0:16	82::span:44:52	True
84::span:0:14	84::span:56:66	True
85::span:16:21	85::span:8:14	True
86::span:36:47	86::span:81:95	True
87::span:0:10	87::span:35:48	True
88::span:75:82	88::span:32:38	True
89::span:0:6	89::span:44:60	False
90::span:0:12	90::span:25:38	True
92::span:170:182	92::span:44:55	True
94::span:0:10	94::span:33:42	True
95::span:6:19	95::span:39:43	True
97::span:0:15	97::span:51:60	True
98::span:34:39	98::span:8:13	True
99::span:25:30	99::span:8:14	True
101::span:0:20	101::span:101:107	True
102::span:0:18	102::span:41:47	True
103::span:0:20	103::span:96:104	True
104::span:0:13	104::span:38:44	True
107::span:0:16	107::span:36:49	True
108::span:0:18	108::span:36:44	True
109::span:0:15	109::span:34:41	False
110::span:15:22	110::span:41:46	True
112::span:103:111	112::span:30:43	False
113::span:0:14	113::span:57:63	True
115::span:0:12	115::span:25:33	True
116::span:0:9	116::span:32:42	True
117::span:0:20	117::span:115:125	True
118::span:32:41	118::span:149:164	True
121::span:0:15	121::span:25:31	True
122::span:0:9	122::span:31:38	True
124::span:20:26	124::span:8:18	True
125::span:4:21	125::span:53:59	True
126::span:0:11	126::span:27:34	False
127::span:0:15	127::span:30:42	True
128::span:0:10	128::span:39:46	True
129::span:36:51	129::span:19:34	True
133::span:0:14	133::span:53:65	False
134::span:30:35	134::span:8:14	False
135::span:0:15	135::span:33:44	True
136::span:0:15	136::span:38:43	True
139::span:0:17	139::span:59:67	True
140::span:0:11	140::span:53:61	True
141::span:0:14	141::span:42:52	False
145::span:0:12	145::span:33:41	True
146::span:0:6	146::span:49:57	True
147::span:37:44	147::span:18:25	True
148::span:42:50	148::span:8:17	True
149::span:0:14	149::span:29:41	False
150::span:0:5	150::span:21:28	False
151::span:0:13	151::span:26:36	True
152::span:4:8	152::span:74:84	False
153::span:65:74	153::span:29:36	False
154::span:114:128	154::span:8:15	True
155::span:0:12	155::span:34:41	True
156::span:0:20	156::span:112:119	False
158::span:48:54	158::span:8:18	True
159::span:0:12	159::span:36:43	True
160::span:0:15	160::span:33:38	True
161::span:0:10	161::span:58:67	True
162::span:267:274	162::span:8:16	True
163::span:0:12	163::span:39:47	True
167::span:16:23	167::span:8:14	True
169::span:0:13	169::span:42:50	True
170::span:0:11	170::span:24:51	True
171::span:0:15	171::span:38:48	True
172::span:0:15	172::span:96:110	True
173::span:0:14	173::span:109:120	True
174::span:0:17	174::span:42:51	True
175::span:0:14	175::span:23:29	True
176::span:0:14	176::span:29:40	True
177::span:0:5	177::span:34:43	False
179::span:0:10	179::span:22:30	True
182::span:0:13	182::span:39:47	True
183::span:0:11	183::span:42:48	True
184::span:0:13	184::span:76:81	True
185::span:78:91	185::span:19:27	True
186::span:0:15	186::span:41:46	True
187::span:20:29	187::span:51:68	True
188::span:0:19	188::span:133:143	False
191::span:0:16	191::span:80:86	False
192::span:0:23	192::span:42:48	True
193::span:0:15	193::span:74:81	True
195::span:0:9	195::span:36:44	True
196::span:0:20	196::span:41:51	True
198::span:0:14	198::span:29:37	True
201::span:0:16	201::span:33:41	True
202::span:0:14	202::span:104:111	False
205::span:424:439	205::span:8:16	False
206::span:0:11	206::span:34:41	True
207::span:0:22	207::span:50:56	True
209::span:0:16	209::span:40:47	False
210::span:0:13	210::span:28:37	True
211::span:17:24	211::span:58:68	True
212::span:0:12	212::span:27:32	True
213::span:0:12	213::span:72:77	True
214::span:15:24	214::span:55:65	True
215::span:55:59	215::span:86:91	True
216::span:0:10	216::span:70:81	False
217::span:0:16	217::span:188:195	False
218::span:0:12	218::span:33:42	True
219::span:0:20	219::span:38:54	True
220::span:0:16	220::span:35:47	True
221::span:19:26	221::span:8:17	True
222::span:0:9	222::span:33:38	True
223::span:0:14	223::span:39:44	True
225::span:0:8	225::span:67:74	False
227::span:0:14	227::span:38:44	True
228::span:0:31	228::span:57:65	True
229::span:0:12	229::span:39:48	True
230::span:17:22	230::span:8:15	True
231::span:0:13	231::span:74:80	True
232::span:0:13	232::span:68:74	True
234::span:0:12	234::span:32:41	True
236::span:0:11	236::span:37:44	True
237::span:0:16	237::span:61:72	True
238::span:0:20	238::span:65:76	True
239::span:38:45	239::span:98:106	True
241::span:0:15	241::span:42:46	True
242::span:0:12	242::span:22:27	True
243::span:29:35	243::span:8:27	True
244::span:0:10	244::span:84:89	True
245::span:131:134	245::span:17:38	False
246::span:0:15	246::span:55:67	True
247::span:0:6	247::span:23:30	False
248::span:0:12	248::span:31:38	True
250::span:4:21	250::span:520:527	True
251::span:0:13	251::span:39:47	True
255::span:0:23	255::span:44:52	True
258::span:164:171	258::span:48:52	False
259::span:0:7	259::span:24:32	False
260::span:0:13	260::span:36:42	True
264::span:0:12	264::span:22:29	True
266::span:15:19	266::span:8:13	True
268::span:0:15	268::span:25:31	True
269::span:0:16	269::span:51:58	True
271::span:0:9	271::span:31:53	True
272::span:0:13	272::span:97:104	True
273::span:41:47	273::span:16:26	False
274::span:0:14	274::span:36:41	True
276::span:31:41	276::span:8:12	True
277::span:8:14	277::span:361:386	False
278::span:0:11	278::span:41:47	True
280::span:3:17	280::span:84:92	True
282::span:0:8	282::span:29:36	True
283::span:0:17	283::span:43:49	True
284::span:53:64	284::span:8:15	True
285::span:0:10	285::span:63:70	True
286::span:15:22	286::span:37:46	True
