person	pob	label
0::span:13:18	0::span:115:127	True
1::span:0:16	1::span:45:51	True
3::span:0:11	3::span:26:35	True
4::span:0:11	4::span:72:78	True
5::span:0:16	5::span:84:87	False
6::span:0:15	6::span:40:50	True
7::span:0:11	7::span:22:25	True
8::span:0:18	8::span:80:84	True
9::span:0:7	9::span:22:27	True
10::span:0:5	10::span:19:24	True
11::span:0:5	11::span:34:37	False
12::span:0:7	12::span:21:28	True
14::span:0:14	14::span:83:96	True
15::span:16:18	15::span:8:13	True
18::span:0:17	18::span:50:56	True
19::span:30:34	19::span:8:16	True
22::span:0:8	22::span:22:28	True
23::span:0:8	23::span:22:26	True
24::span:18:24	24::span:47:55	True
25::span:0:4	25::span:20:28	False
27::span:35:39	27::span:8:15	True
28::span:0:10	28::span:31:37	True
29::span:0:13	29::span:40:55	True
31::span:0:18	31::span:31:38	True
32::span:0:4	32::span:18:33	True
34::span:0:8	34::span:39:45	True
35::span:0:16	35::span:32:38	False
36::span:0:15	36::span:34:39	True
37::span:0:4	37::span:35:44	False
39::span:0:5	39::span:30:39	True
40::span:342:348	40::span:8:15	True
41::span:32:36	41::span:8:18	True
42::span:0:15	42::span:87:94	True
43::span:0:16	43::span:136:144	True
44::span:0:12	44::span:32:38	True
46::span:25:30	46::span:8:13	True
47::span:0:13	47::span:24:31	True
48::span:0:12	48::span:63:70	True
49::span:0:7	49::span:72:78	False
50::span:0:17	50::span:62:68	True
51::span:91:97	51::span:8:19	True
52::span:0:9	52::span:27:33	False
53::span:0:6	53::span:22:31	False
55::span:0:7	55::span:28:47	True
56::span:0:12	56::span:71:76	True
57::span:20:25	57::span:8:17	True
58::span:0:21	58::span:378:383	False
59::span:0:11	59::span:48:55	True
60::span:0:8	60::span:22:25	True
61::span:0:12	61::span:55:64	True
62::span:365:372	62::span:32:39	False
63::span:0:22	63::span:39:44	True
64::span:0:16	64::span:27:32	True
65::span:0:9	65::span:25:33	True
67::span:0:24	67::span:45:49	True
68::span:0:10	68::span:40:45	True
69::span:75:84	69::span:31:40	True
70::span:122:133	70::span:351:359	False
72::span:103:117	72::span:44:68	True
73::span:0:12	73::span:37:48	True
74::span:0:10	74::span:93:98	False
75::span:0:4	75::span:18:25	True
77::span:0:14	77::span:41:49	True
78::span:0:15	78::span:29:37	True
80::span:27:32	80::span:8:15	True
81::span:0:5	81::span:23:32	False
82::span:0:15	82::span:44:51	True
84::span:0:13	84::span:56:65	True
85::span:16:20	85::span:8:13	True
86::span:36:46	86::span:81:94	True
87::span:0:9	87::span:35:47	True
88::span:75:81	88::span:32:37	True
89::span:0:5	89::span:44:59	False
90::span:0:11	90::span:25:37	True
92::span:170:181	92::span:44:54	True
93::span:89:92	93::span:188:193	False
94::span:0:9	94::span:33:41	True
95::span:6:18	95::span:39:42	True
96::span:84:91	96::span:16:24	False
97::span:0:14	97::span:51:59	True
98::span:34:38	98::span:8:12	True
99::span:25:29	99::span:8:13	True
101::span:0:19	101::span:101:106	True
102::span:0:17	102::span:41:46	True
103::span:0:19	103::span:96:103	True
104::span:0:12	104::span:38:43	True
107::span:0:15	107::span:36:48	True
108::span:0:17	108::span:36:43	True
109::span:0:14	109::span:34:40	False
110::span:15:21	110::span:41:45	True
112::span:103:110	112::span:30:42	False
113::span:0:13	113::span:57:62	True
114::span:32:37	114::span:8:19	False
115::span:0:11	115::span:25:32	True
116::span:0:8	116::span:32:41	True
117::span:0:19	117::span:115:124	True
118::span:32:40	118::span:149:163	True
120::span:3:10	120::span:27:35	False
121::span:0:14	121::span:25:30	True
122::span:0:8	122::span:31:37	True
124::span:20:25	124::span:8:17	True
125::span:4:20	125::span:53:58	True
126::span:0:10	126::span:27:33	False
127::span:0:14	127::span:30:41	True
128::span:0:9	128::span:39:45	True
129::span:36:50	129::span:19:33	True
131::span:161:164	131::span:17:23	False
132::span:0:7	132::span:48:53	False
133::span:0:13	133::span:53:64	False
134::span:30:34	134::span:8:13	False
135::span:0:14	135::span:33:43	True
136::span:0:14	136::span:38:42	True
139::span:0:16	139::span:59:66	True
140::span:0:10	140::span:53:60	True
141::span:0:13	141::span:42:51	False
144::span:0:6	144::span:203:208	False
145::span:0:11	145::span:33:40	True
146::span:0:5	146::span:49:56	True
147::span:37:43	147::span:18:24	True
148::span:42:49	148::span:8:16	True
149::span:0:13	149::span:29:40	False
150::span:0:4	150::span:21:27	False
151::span:0:12	151::span:26:35	True
152::span:4:7	152::span:74:83	False
153::span:65:73	153::span:29:35	False
154::span:114:127	154::span:8:14	True
155::span:0:11	155::span:34:40	True
156::span:0:19	156::span:112:118	False
157::span:22:29	157::span:223:236	True
158::span:48:53	158::span:8:17	True
159::span:0:11	159::span:36:42	True
160::span:0:14	160::span:33:37	True
161::span:0:9	161::span:58:66	True
162::span:267:273	162::span:8:15	True
163::span:0:11	163::span:39:46	True
166::span:0:7	166::span:25:33	False
167::span:16:22	167::span:8:13	True
169::span:0:12	169::span:42:49	True
170::span:0:10	170::span:24:50	True
171::span:0:14	171::span:38:47	True
172::span:0:14	172::span:96:109	True
