d0	Toño Salazar died in 1986 in San Salvador from Parkinson's disease. A significant collection of his work is at the El Salvador Museum of Art in San Salvador who held a major exhibition of his works in 2005 and who named a reception hall in his honor.
d1	Garry continued to practice law after the Jonestown incident, his clientele changed and his chance for further national acclaim had passed. His post-Jonestown press conferences of November/December 1978 served as his final public acts. Garry died of a stroke in August 1991, at the age of 82 in Berkeley, California.
d2	His publications included the massive Volume 1 of the ``Treatise on Maine Ecology & Paleoecology'' (1957); and Introduction to Seashore Life of the San Francisco Bay Region (1962). His teaching posts included the Scripps Institution of Oceanography at University of California, San Diego. He was also director of the Pacific Marine Station, a University of the Pacific research facility at Dillon Beach, California, from 1957 to 1965. He was director of the Yaquina Biological Laboratories of the Marine Science Center, Oregon State University, Newport, Oregon, from 1965 to 1973. He retired as Professor of Oceanography in September, 1973. He and his wife moved to Santa Rosa, California during retirement. He died July 28, 2006 in Hillsboro, Oregon. His archives are housed at Scripps Institute of Oceanography in San Diego, California.
d3	She died in Lerwick on the 12th of March, 1827.
d4	In the 1840s Westmacott moved to Paris, where he died in 1868.
d5	Allfrey married Geraldine Clare Lucas-Scudamore in 1935, they had a son and a daughter. Allfrey died on 2 November 1964 in Bristol.
d6	Elizabeth Wells Cannon (December 7, 1859 -- September 2, 1942), also referred to as Annie Wells Cannon, was a prominent women's suffragist in Utah who served in the Utah House of Representatives from 1913 to 1915 and again in 1921. She was also president of the Daughters of Utah Pioneers and a charter member of the Utah Red Cross. Her father was Daniel H. Wells and she was married to John Q. Cannon. She died in Salt Lake City, Utah of Hodgkin's lymphoma.
d8	He lived in retirement in Naples where he died in 1903.
d9	Helen Ring Robinson (1878--1923), was either the first of the second woman to serve as a state senator in the United States and the first in the Colorado State Senate. She was elected in 1913. She died in Denver in 1923.
d11	Chan died at her home in Butterworth, Penang on May 26, 1987, leaving behind her husband, a son and three daughters -- her eldest son, from her first marriage, and an adopted daughter, having earlier disowned her. Her husband Low Kim Seng, son Chong Weng Thye, and daughter Irene were at her deathbed.
d13	Agnes Newton Keith died at age 80 in Oak Bay, British Columbia. Harry died the same year.
d14	On July 1, 1974, Perón died, leaving a divided party and his widow, who was earlier chosen Vice President as a compromise between feuding factions, in power. Increasingly strained by rising labor union wage demands and the 1973 oil shock alike, the Social Pact gradually lost its ability to contain inflation, and in November, Gelbard decided to resign. In March 1976 a bloody Military Junta overthrew Isabel Perón's presidency and in later years killed tens of thousands of people. Gelbard and his family left the country before the coup and obtained political asylum in the USA. All his assets in Argentina were quasi confiscated, frozen. There was a death sentence for him and his son Fernando. On October 4, 1977, Gelbard died of a heart attack in Washington DC. His son Fernando fought the Junta, recovered all the family assets, and in 1989 became Argentine Ambassador to France.
d15	After serving as Attorney General, Gilchrist returned to private practice in Jersey City. He married late in life to Fredericka Raymond Beardsley, who wrote The True Story of Hamlet and Ophelia (1889). Gilchrist died at his home in Jersey City in 1888.
d18	André Jean (or Andray), who was born in Paris, in 1662, became a Dominican in 1679. He went to Rome, where he received lessons from Carlo Maratti, and studied the works of Michelangelo and Raphael. He painted portraits and historical subjects, and has the character of being very correct in his designs, and a good colourist. He died at Paris in 1753. Amongst his best works may be mentioned the 'Feast of the Pharisee,' in the Dominican Church at Lyons; his own Portrait, in the Louvre; the'Marriage of Cana,' and the 'Miracle of the Loaves,' at Bordeaux; and the 'Adoration of the Kings,' and numerous others which he painted in various churches in Paris. Andre imparted instruction in art to Taraval, Chasle, and Dumont.
d19	Charley Thornton died on 16 February 2004 in Tuscaloosa, Alabama.
d20	He died at the Massachusetts General Hospital in Boston of heart failure. He had been in failing health since late January, when he underwent surgery for a recurrence of cancer. He was buried at Mt. Ararat Cemetery, Long Island, N.Y.
d22	Rick McNair (1942--2007), was a playwright, author, director, actor, storyteller, librettist, bibliophile, basketball player and coach. He was the former Director of Theatre Calgary and the Manitoba Theatre Centre and the founder of the Winnipeg Fringe Festival. Born in Amherst, Nova Scotia, he died in Winnipeg, Manitoba on January 31, 2007.
